,term,crn,location,day,start,end
0,Winter2017,11701,DSB 109,W,2017-01-04T08:30:00,2017-01-04T16:30:00
1,Winter2017,11701,DSB 109,R,2017-01-05T08:30:00,2017-01-05T16:30:00
2,Winter2017,11701,DSB 109,F,2017-01-06T08:30:00,2017-01-06T16:30:00
3,Winter2017,11701,DSB 109,M,2017-01-09T08:30:00,2017-01-09T16:30:00
4,Winter2017,11701,DSB 109,T,2017-01-10T08:30:00,2017-01-10T16:30:00
5,Winter2017,11709,DMH 350,W,2017-01-04T08:30:00,2017-01-04T16:30:00
6,Winter2017,11709,DMH 350,R,2017-01-05T08:30:00,2017-01-05T16:30:00
7,Winter2017,11709,DMH 350,F,2017-01-06T08:30:00,2017-01-06T16:30:00
8,Winter2017,11709,DMH 350,M,2017-01-09T08:30:00,2017-01-09T16:30:00
9,Winter2017,11709,DMH 350,T,2017-01-10T08:30:00,2017-01-10T16:30:00
10,Winter2017,11703,DSB 114,F,2017-01-06T18:00:00,2017-01-06T22:00:00
11,Winter2017,11703,DSB 114,M,2017-01-09T18:00:00,2017-01-09T22:00:00
12,Winter2017,11703,DSB 114,T,2017-01-10T18:00:00,2017-01-10T22:00:00
13,Winter2017,11703,DSB 114,W,2017-01-11T18:00:00,2017-01-11T22:00:00
14,Winter2017,11703,DSB 114,R,2017-01-12T18:00:00,2017-01-12T22:00:00
15,Winter2017,11703,DSB 114,F,2017-01-13T18:00:00,2017-01-13T22:00:00
16,Winter2017,11703,DSB 114,F,2017-01-06T08:30:00,2017-01-06T16:30:00
17,Winter2017,11703,DSB 114,M,2017-01-09T08:30:00,2017-01-09T16:30:00
18,Winter2017,11703,DSB 114,T,2017-01-10T08:30:00,2017-01-10T16:30:00
19,Winter2017,11703,DSB 114,W,2017-01-11T08:30:00,2017-01-11T16:30:00
20,Winter2017,11703,DSB 114,R,2017-01-12T08:30:00,2017-01-12T16:30:00
21,Winter2017,11703,DSB 114,F,2017-01-13T08:30:00,2017-01-13T16:30:00
22,Winter2017,11703,DSB 114,S,2017-01-07T08:30:00,2017-01-07T16:30:00
23,Winter2017,11703,DSB 114,S,2017-01-14T08:30:00,2017-01-14T16:30:00
24,Winter2017,11702,DSB 115,M,2017-01-02T18:00:00,2017-01-02T21:30:00
25,Winter2017,11702,DSB 115,T,2017-01-03T18:00:00,2017-01-03T21:30:00
26,Winter2017,11702,DSB 115,W,2017-01-04T18:00:00,2017-01-04T21:30:00
27,Winter2017,11702,DSB 115,R,2017-01-05T18:00:00,2017-01-05T21:30:00
28,Winter2017,11702,DSB 115,M,2017-01-09T18:00:00,2017-01-09T21:30:00
29,Winter2017,11702,DSB 115,T,2017-01-10T18:00:00,2017-01-10T21:30:00
30,Winter2017,11702,DSB 115,W,2017-01-11T18:00:00,2017-01-11T21:30:00
31,Winter2017,11702,DSB 115,R,2017-01-12T18:00:00,2017-01-12T21:30:00
32,Winter2017,11702,DSB 115,M,2017-01-02T08:30:00,2017-01-02T16:30:00
33,Winter2017,11702,DSB 115,T,2017-01-03T08:30:00,2017-01-03T16:30:00
34,Winter2017,11702,DSB 115,W,2017-01-04T08:30:00,2017-01-04T16:30:00
35,Winter2017,11702,DSB 115,R,2017-01-05T08:30:00,2017-01-05T16:30:00
36,Winter2017,11702,DSB 115,M,2017-01-09T08:30:00,2017-01-09T16:30:00
37,Winter2017,11702,DSB 115,T,2017-01-10T08:30:00,2017-01-10T16:30:00
38,Winter2017,11702,DSB 115,W,2017-01-11T08:30:00,2017-01-11T16:30:00
39,Winter2017,11702,DSB 115,R,2017-01-12T08:30:00,2017-01-12T16:30:00
40,Winter2017,11702,DSB 115,S,2017-01-07T08:30:00,2017-01-07T16:30:00
41,Winter2017,11702,DSB 115,S,2017-01-14T08:30:00,2017-01-14T16:30:00
42,Winter2017,11713,JGS 25,W,2017-01-04T08:30:00,2017-01-04T16:30:00
43,Winter2017,11713,JGS 25,R,2017-01-05T08:30:00,2017-01-05T16:30:00
44,Winter2017,11713,JGS 25,F,2017-01-06T08:30:00,2017-01-06T16:30:00
45,Winter2017,11713,JGS 25,M,2017-01-09T08:30:00,2017-01-09T16:30:00
46,Winter2017,11713,JGS 25,T,2017-01-10T08:30:00,2017-01-10T16:30:00
47,Winter2017,11719,DMH 231,W,2017-01-04T08:30:00,2017-01-04T16:30:00
48,Winter2017,11719,DMH 231,R,2017-01-05T08:30:00,2017-01-05T16:30:00
49,Winter2017,11719,DMH 231,F,2017-01-06T08:30:00,2017-01-06T16:30:00
50,Winter2017,11719,DMH 231,M,2017-01-09T08:30:00,2017-01-09T16:30:00
51,Winter2017,11719,DMH 231,T,2017-01-10T08:30:00,2017-01-10T16:30:00
52,Winter2017,11720,CNS 15,T,2017-01-03T16:30:00,2017-01-03T19:30:00
53,Winter2017,11720,CNS 15,W,2017-01-04T16:30:00,2017-01-04T19:30:00
54,Winter2017,11720,CNS 15,R,2017-01-05T16:30:00,2017-01-05T19:30:00
55,Winter2017,11720,CNS 15,M,2017-01-09T16:30:00,2017-01-09T19:30:00
56,Winter2017,11720,CNS 15,T,2017-01-10T16:30:00,2017-01-10T19:30:00
57,Winter2017,11720,CNS 15,W,2017-01-11T16:30:00,2017-01-11T19:30:00
58,Winter2017,11720,CNS 15,R,2017-01-12T16:30:00,2017-01-12T19:30:00
59,Winter2017,11720,CNS 202,T,2017-01-03T16:30:00,2017-01-03T19:30:00
60,Winter2017,11720,CNS 202,W,2017-01-04T16:30:00,2017-01-04T19:30:00
61,Winter2017,11720,CNS 202,R,2017-01-05T16:30:00,2017-01-05T19:30:00
62,Winter2017,11720,CNS 202,M,2017-01-09T16:30:00,2017-01-09T19:30:00
63,Winter2017,11720,CNS 202,T,2017-01-10T16:30:00,2017-01-10T19:30:00
64,Winter2017,11720,CNS 202,W,2017-01-11T16:30:00,2017-01-11T19:30:00
65,Winter2017,11720,CNS 202,R,2017-01-12T16:30:00,2017-01-12T19:30:00
66,Winter2017,11720,CNS 202,T,2017-01-03T16:30:00,2017-01-03T19:30:00
67,Winter2017,11720,CNS 202,W,2017-01-04T16:30:00,2017-01-04T19:30:00
68,Winter2017,11720,CNS 202,R,2017-01-05T16:30:00,2017-01-05T19:30:00
69,Winter2017,11720,CNS 202,M,2017-01-09T16:30:00,2017-01-09T19:30:00
70,Winter2017,11720,CNS 202,T,2017-01-10T16:30:00,2017-01-10T19:30:00
71,Winter2017,11720,CNS 202,W,2017-01-11T16:30:00,2017-01-11T19:30:00
72,Winter2017,11720,CNS 202,R,2017-01-12T16:30:00,2017-01-12T19:30:00
73,Winter2017,11720,CNS 202,T,2017-01-03T09:00:00,2017-01-03T15:00:00
74,Winter2017,11720,CNS 202,W,2017-01-04T09:00:00,2017-01-04T15:00:00
75,Winter2017,11720,CNS 202,R,2017-01-05T09:00:00,2017-01-05T15:00:00
76,Winter2017,11720,CNS 202,M,2017-01-09T09:00:00,2017-01-09T15:00:00
77,Winter2017,11720,CNS 202,T,2017-01-10T09:00:00,2017-01-10T15:00:00
78,Winter2017,11720,CNS 202,W,2017-01-11T09:00:00,2017-01-11T15:00:00
79,Winter2017,11720,CNS 202,R,2017-01-12T09:00:00,2017-01-12T15:00:00
80,Winter2017,11720,CNS 202,T,2017-01-03T09:00:00,2017-01-03T15:00:00
81,Winter2017,11720,CNS 202,W,2017-01-04T09:00:00,2017-01-04T15:00:00
82,Winter2017,11720,CNS 202,R,2017-01-05T09:00:00,2017-01-05T15:00:00
83,Winter2017,11720,CNS 202,M,2017-01-09T09:00:00,2017-01-09T15:00:00
84,Winter2017,11720,CNS 202,T,2017-01-10T09:00:00,2017-01-10T15:00:00
85,Winter2017,11720,CNS 202,W,2017-01-11T09:00:00,2017-01-11T15:00:00
86,Winter2017,11720,CNS 202,R,2017-01-12T09:00:00,2017-01-12T15:00:00
87,Winter2017,11720,CNS 202,S,2017-01-07T09:00:00,2017-01-07T15:00:00
88,Winter2017,11720,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
89,Winter2017,11720,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
90,Winter2017,11720,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
91,Winter2017,11720,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
92,Winter2017,11720,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
93,Winter2017,11720,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
94,Winter2017,11720,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
95,Winter2017,11720,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
96,Winter2017,11720,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
97,Winter2017,11720,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
98,Winter2017,11720,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
99,Winter2017,11720,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
100,Winter2017,11720,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
101,Winter2017,11720,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
102,Winter2017,11720,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
103,Winter2017,11720,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
104,Winter2017,11721,CNS 15,T,2017-01-03T16:30:00,2017-01-03T19:30:00
105,Winter2017,11721,CNS 15,W,2017-01-04T16:30:00,2017-01-04T19:30:00
106,Winter2017,11721,CNS 15,R,2017-01-05T16:30:00,2017-01-05T19:30:00
107,Winter2017,11721,CNS 15,M,2017-01-09T16:30:00,2017-01-09T19:30:00
108,Winter2017,11721,CNS 15,T,2017-01-10T16:30:00,2017-01-10T19:30:00
109,Winter2017,11721,CNS 15,W,2017-01-11T16:30:00,2017-01-11T19:30:00
110,Winter2017,11721,CNS 15,R,2017-01-12T16:30:00,2017-01-12T19:30:00
111,Winter2017,11721,CNS 101,T,2017-01-03T16:30:00,2017-01-03T19:30:00
112,Winter2017,11721,CNS 101,W,2017-01-04T16:30:00,2017-01-04T19:30:00
113,Winter2017,11721,CNS 101,R,2017-01-05T16:30:00,2017-01-05T19:30:00
114,Winter2017,11721,CNS 101,M,2017-01-09T16:30:00,2017-01-09T19:30:00
115,Winter2017,11721,CNS 101,T,2017-01-10T16:30:00,2017-01-10T19:30:00
116,Winter2017,11721,CNS 101,W,2017-01-11T16:30:00,2017-01-11T19:30:00
117,Winter2017,11721,CNS 101,R,2017-01-12T16:30:00,2017-01-12T19:30:00
118,Winter2017,11721,CNS 101,T,2017-01-03T16:30:00,2017-01-03T19:30:00
119,Winter2017,11721,CNS 101,W,2017-01-04T16:30:00,2017-01-04T19:30:00
120,Winter2017,11721,CNS 101,R,2017-01-05T16:30:00,2017-01-05T19:30:00
121,Winter2017,11721,CNS 101,M,2017-01-09T16:30:00,2017-01-09T19:30:00
122,Winter2017,11721,CNS 101,T,2017-01-10T16:30:00,2017-01-10T19:30:00
123,Winter2017,11721,CNS 101,W,2017-01-11T16:30:00,2017-01-11T19:30:00
124,Winter2017,11721,CNS 101,R,2017-01-12T16:30:00,2017-01-12T19:30:00
125,Winter2017,11721,CNS 101,T,2017-01-03T09:00:00,2017-01-03T15:00:00
126,Winter2017,11721,CNS 101,W,2017-01-04T09:00:00,2017-01-04T15:00:00
127,Winter2017,11721,CNS 101,R,2017-01-05T09:00:00,2017-01-05T15:00:00
128,Winter2017,11721,CNS 101,M,2017-01-09T09:00:00,2017-01-09T15:00:00
129,Winter2017,11721,CNS 101,T,2017-01-10T09:00:00,2017-01-10T15:00:00
130,Winter2017,11721,CNS 101,W,2017-01-11T09:00:00,2017-01-11T15:00:00
131,Winter2017,11721,CNS 101,R,2017-01-12T09:00:00,2017-01-12T15:00:00
132,Winter2017,11721,CNS 101,T,2017-01-03T09:00:00,2017-01-03T15:00:00
133,Winter2017,11721,CNS 101,W,2017-01-04T09:00:00,2017-01-04T15:00:00
134,Winter2017,11721,CNS 101,R,2017-01-05T09:00:00,2017-01-05T15:00:00
135,Winter2017,11721,CNS 101,M,2017-01-09T09:00:00,2017-01-09T15:00:00
136,Winter2017,11721,CNS 101,T,2017-01-10T09:00:00,2017-01-10T15:00:00
137,Winter2017,11721,CNS 101,W,2017-01-11T09:00:00,2017-01-11T15:00:00
138,Winter2017,11721,CNS 101,R,2017-01-12T09:00:00,2017-01-12T15:00:00
139,Winter2017,11721,CNS 101,S,2017-01-07T09:00:00,2017-01-07T15:00:00
140,Winter2017,11721,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
141,Winter2017,11721,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
142,Winter2017,11721,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
143,Winter2017,11721,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
144,Winter2017,11721,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
145,Winter2017,11721,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
146,Winter2017,11721,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
147,Winter2017,11721,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
148,Winter2017,11721,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
149,Winter2017,11721,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
150,Winter2017,11721,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
151,Winter2017,11721,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
152,Winter2017,11721,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
153,Winter2017,11721,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
154,Winter2017,11721,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
155,Winter2017,11721,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
156,Winter2017,11726,CNS 15,T,2017-01-03T16:30:00,2017-01-03T19:30:00
157,Winter2017,11726,CNS 15,W,2017-01-04T16:30:00,2017-01-04T19:30:00
158,Winter2017,11726,CNS 15,R,2017-01-05T16:30:00,2017-01-05T19:30:00
159,Winter2017,11726,CNS 15,M,2017-01-09T16:30:00,2017-01-09T19:30:00
160,Winter2017,11726,CNS 15,T,2017-01-10T16:30:00,2017-01-10T19:30:00
161,Winter2017,11726,CNS 15,W,2017-01-11T16:30:00,2017-01-11T19:30:00
162,Winter2017,11726,CNS 15,R,2017-01-12T16:30:00,2017-01-12T19:30:00
163,Winter2017,11726,CNS 108,T,2017-01-03T16:30:00,2017-01-03T19:30:00
164,Winter2017,11726,CNS 108,W,2017-01-04T16:30:00,2017-01-04T19:30:00
165,Winter2017,11726,CNS 108,R,2017-01-05T16:30:00,2017-01-05T19:30:00
166,Winter2017,11726,CNS 108,M,2017-01-09T16:30:00,2017-01-09T19:30:00
167,Winter2017,11726,CNS 108,T,2017-01-10T16:30:00,2017-01-10T19:30:00
168,Winter2017,11726,CNS 108,W,2017-01-11T16:30:00,2017-01-11T19:30:00
169,Winter2017,11726,CNS 108,R,2017-01-12T16:30:00,2017-01-12T19:30:00
170,Winter2017,11726,CNS 108,T,2017-01-03T16:30:00,2017-01-03T19:30:00
171,Winter2017,11726,CNS 108,W,2017-01-04T16:30:00,2017-01-04T19:30:00
172,Winter2017,11726,CNS 108,R,2017-01-05T16:30:00,2017-01-05T19:30:00
173,Winter2017,11726,CNS 108,M,2017-01-09T16:30:00,2017-01-09T19:30:00
174,Winter2017,11726,CNS 108,T,2017-01-10T16:30:00,2017-01-10T19:30:00
175,Winter2017,11726,CNS 108,W,2017-01-11T16:30:00,2017-01-11T19:30:00
176,Winter2017,11726,CNS 108,R,2017-01-12T16:30:00,2017-01-12T19:30:00
177,Winter2017,11726,CNS 108,T,2017-01-03T09:00:00,2017-01-03T15:00:00
178,Winter2017,11726,CNS 108,W,2017-01-04T09:00:00,2017-01-04T15:00:00
179,Winter2017,11726,CNS 108,R,2017-01-05T09:00:00,2017-01-05T15:00:00
180,Winter2017,11726,CNS 108,M,2017-01-09T09:00:00,2017-01-09T15:00:00
181,Winter2017,11726,CNS 108,T,2017-01-10T09:00:00,2017-01-10T15:00:00
182,Winter2017,11726,CNS 108,W,2017-01-11T09:00:00,2017-01-11T15:00:00
183,Winter2017,11726,CNS 108,R,2017-01-12T09:00:00,2017-01-12T15:00:00
184,Winter2017,11726,CNS 108,T,2017-01-03T09:00:00,2017-01-03T15:00:00
185,Winter2017,11726,CNS 108,W,2017-01-04T09:00:00,2017-01-04T15:00:00
186,Winter2017,11726,CNS 108,R,2017-01-05T09:00:00,2017-01-05T15:00:00
187,Winter2017,11726,CNS 108,M,2017-01-09T09:00:00,2017-01-09T15:00:00
188,Winter2017,11726,CNS 108,T,2017-01-10T09:00:00,2017-01-10T15:00:00
189,Winter2017,11726,CNS 108,W,2017-01-11T09:00:00,2017-01-11T15:00:00
190,Winter2017,11726,CNS 108,R,2017-01-12T09:00:00,2017-01-12T15:00:00
191,Winter2017,11726,CNS 108,S,2017-01-07T09:00:00,2017-01-07T15:00:00
192,Winter2017,11726,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
193,Winter2017,11726,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
194,Winter2017,11726,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
195,Winter2017,11726,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
196,Winter2017,11726,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
197,Winter2017,11726,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
198,Winter2017,11726,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
199,Winter2017,11726,CNS 15,T,2017-01-03T09:00:00,2017-01-03T15:00:00
200,Winter2017,11726,CNS 15,W,2017-01-04T09:00:00,2017-01-04T15:00:00
201,Winter2017,11726,CNS 15,R,2017-01-05T09:00:00,2017-01-05T15:00:00
202,Winter2017,11726,CNS 15,M,2017-01-09T09:00:00,2017-01-09T15:00:00
203,Winter2017,11726,CNS 15,T,2017-01-10T09:00:00,2017-01-10T15:00:00
204,Winter2017,11726,CNS 15,W,2017-01-11T09:00:00,2017-01-11T15:00:00
205,Winter2017,11726,CNS 15,R,2017-01-12T09:00:00,2017-01-12T15:00:00
206,Winter2017,11726,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
207,Winter2017,11726,CNS 15,S,2017-01-07T09:00:00,2017-01-07T15:00:00
208,Winter2017,11718,LYL 22,W,2017-01-04T08:30:00,2017-01-04T16:30:00
209,Winter2017,11718,LYL 22,R,2017-01-05T08:30:00,2017-01-05T16:30:00
210,Winter2017,11718,LYL 22,F,2017-01-06T08:30:00,2017-01-06T16:30:00
211,Winter2017,11718,LYL 22,M,2017-01-09T08:30:00,2017-01-09T16:30:00
212,Winter2017,11718,LYL 22,T,2017-01-10T08:30:00,2017-01-10T16:30:00
